"RDA1" "RDA2" "RDA3" "RDA4" "cumImp"
"rda_traitscD1" 0.52398464436841 0.366899661645135 0.0564668255162094 -0.318307321701406 0.198000869978323
"rda_traitscD3" 0.213197436587533 0.236790645463477 0.416560145183962 -0.318876016318887 0.151647008714511
"rda_traitscD4" 0.384502152639473 -0.387531533910274 0.668735664471832 0.110915222773821 0.212860186561099
"rda_traitscD5" 0.425366065789775 -0.665329408508863 -0.298974172595834 -0.331570797014931 0.243555726133622
"rda_traitscD10" 0.110465374086367 -0.321041172969996 -0.0908771542441183 0.430023737152578 0.119350619468483
"rda_traitscD13" 0.0356486055580273 0.258466396641756 -0.069615163377636 -0.345064141424892 0.0843670442678139
"rda_traitscD16" -0.141307969170437 0.132714356170668 -0.0418187227881939 -0.0263469324150317 0.0546589694763165
"rda_traitscD18" 0.62227873838028 0.0353364156061478 0.0559452640715816 0.513871264784026 0.193678644583557
"rda_traitscD19" -0.57906487344182 0.173179412216184 0.292262087587344 0.416486498586904 0.217437778236595
"Prop_Var" 0.211 0.135 0.102 0.101 NA
