"RDA1" "RDA2" "RDA3" "RDA4" "cumImp"
"rda_traitscD1" -0.387271978365118 0.534986322942001 0.361412559504909 -0.0712537331313907 0.224211557059408
"rda_traitscD3" -0.0941758705467061 0.351856715693701 0.237188779826168 0.179889491893777 0.112009956594628
"rda_traitscD4" -0.456864190205973 -0.0762622937680111 0.317164736927273 0.458392876459362 0.210586469681729
"rda_traitscD5" -0.746882377816638 -0.495524948606939 0.142164563205258 -0.0860719386305036 0.305198450812653
"rda_traitscD10" -0.131399400908685 -0.121807933801979 0.306919896519876 -0.404737356403217 0.116643458679841
"rda_traitscD13" 0.0182632014532138 0.145866765240361 -0.57404372572693 0.29430301665674 0.101403986466334
"rda_traitscD16" 0.265205503121319 0.0819227521724782 0.200805123907218 -0.0856389213994096 0.113549182802626
"rda_traitscD18" -0.4516995237541 0.314072767271189 -0.524129757265492 0.367523328190704 0.252359561821435
"rda_traitscD19" 0.65478290952805 -0.0844149992205004 0.0120839920354971 0.485668481099527 0.24446397775049
"Prop_Var" 0.291 0.137 0.089 0.085 NA
