"RDA1" "RDA2" "RDA3" "RDA4" "cumImp"
"rda_traitscD1" 0.672267766089396 0.0638622778154031 -0.0602620964386296 0.279116154015388 0.196349897511507
"rda_traitscD3" 0.342334016221075 -0.094287635738525 -0.0875817339674099 0.187503251392582 0.117942837977903
"rda_traitscD4" 0.425113249830165 -0.345222666213455 -0.0786620920548609 0.0611099890856658 0.153191730617166
"rda_traitscD5" 0.396320387710186 -0.564912199963008 0.4412445996484 -0.21022118734508 0.225878832253825
"rda_traitscD10" -0.110777027125176 0.267627166352743 0.549767154976099 0.266256946243594 0.141817191808355
"rda_traitscD13" 0.0420705618064806 0.110682612927242 -0.541579316999094 -0.578863205120792 0.13828436809518
"rda_traitscD16" -0.11349097716521 0.0670288629143294 0.322113803295976 0.39918873580691 0.108249983915639
"rda_traitscD18" 0.447370423747523 0.384892006752221 0.505988086888894 -0.284479442425389 0.230274532012284
"rda_traitscD19" -0.496385463066828 0.0769603350887757 0.218983960722504 0.507468069774063 0.197443586285052
"Prop_Var" 0.229 0.12 0.104 0.102 NA
