"RDA1" "RDA2" "RDA3" "RDA4" "cumImp"
"rda_traitscD1" 0.5593052025978 0.222530947750112 0.0866385879584429 0.222576475021246 0.195647177266024
"rda_traitscD3" 0.24222947277998 0.0891346738940171 0.0440597469979938 0.444344274964143 0.117094453956558
"rda_traitscD4" 0.344130850808717 -0.325126251511953 0.266339942798369 -0.0839898956036267 0.162676133070937
"rda_traitscD5" 0.413397267409741 -0.692463162386701 -0.00199305026753231 0.195428569832223 0.214171645713504
"rda_traitscD10" -0.0919937636257288 -0.304056952393206 0.737114167998146 -0.342295441922601 0.170109538568228
"rda_traitscD13" 0.229983999990674 0.177194980436817 -0.869747823531687 -0.0708179485788972 0.173740704817609
"rda_traitscD16" -0.312003490997133 0.272325427066189 0.558619979698876 0.568614167105371 0.222397483434233
"rda_traitscD18" 0.506815604312478 0.0899454629820799 0.197072877849061 -0.132634257898245 0.167236758162488
"rda_traitscD19" -0.684596106818656 0.23985856946044 0.08689881085957 -0.0112755116703494 0.208522519618625
"Prop_Var" 0.242 0.138 0.1 0.094 NA
